Payment_Date,Payment_Total
2018-01-01 00:00:00,4530.655276
2018-01-01 01:00:00,4158.5265
2018-01-01 02:00:00,1174.32227
2018-01-01 03:00:00,1431.577385
2018-01-01 04:00:00,1030.975
2018-01-01 05:00:00,459.77
2018-01-01 06:00:00,551.8735
2018-01-01 07:00:00,460.575
2018-01-01 08:00:00,73.255
2018-01-01 09:00:00,1333.252385
2018-01-01 10:00:00,1606.7225
2018-01-01 11:00:00,2737.827885
2018-01-01 12:00:00,4409.21546
2018-01-01 13:00:00,4833.622385
2018-01-01 14:00:00,3509.535615
2018-01-01 15:00:00,5734.51525
2018-01-01 16:00:00,3777.864701
2018-01-01 17:00:00,3262.607155
2018-01-01 18:00:00,4952.08377
2018-01-01 19:00:00,6405.638046
2018-01-01 20:00:00,5905.985885
2018-01-01 21:00:00,7004.822615
2018-01-01 22:00:00,10200.258316
2018-01-01 23:00:00,9615.55227
2018-01-02 00:00:00,5998.870695
2018-01-02 01:00:00,3535.640845
2018-01-02 02:00:00,789.704931
2018-01-02 03:00:00,488.439615
2018-01-02 04:00:00,69.805
2018-01-02 05:00:00,412.85
2018-01-02 06:00:00,1448.195
2018-01-02 07:00:00,543.374885
2018-01-02 08:00:00,941.67727
2018-01-02 09:00:00,1928.03181
2018-01-02 10:00:00,4488.449655
2018-01-02 11:00:00,4870.651925
2018-01-02 12:00:00,7074.74227
2018-01-02 13:00:00,4908.579224
2018-01-02 14:00:00,5632.9530115
2018-01-02 15:00:00,6215.508385
2018-01-02 16:00:00,6974.451
2018-01-02 17:00:00,5836.825506
2018-01-02 18:00:00,3692.57479
2018-01-02 19:00:00,3958.382685
2018-01-02 20:00:00,7013.044885
2018-01-02 21:00:00,8838.945885
2018-01-02 22:00:00,9599.34141
2018-01-02 23:00:00,6922.02296
2018-01-03 00:00:00,6998.60123
2018-01-03 01:00:00,3109.0825
2018-01-03 02:00:00,1974.6535
2018-01-03 03:00:00,774.869885
2018-01-03 04:00:00,156.285
2018-01-03 05:00:00,449.765
2018-01-03 06:00:00,223.904885
2018-01-03 07:00:00,709.665
2018-01-03 08:00:00,1645.19
2018-01-03 09:00:00,2686.45727
2018-01-03 10:00:00,3454.91027
2018-01-03 11:00:00,4598.286385
2018-01-03 12:00:00,4732.2385
2018-01-03 13:00:00,6272.6635
2018-01-03 14:00:00,3570.704
2018-01-03 15:00:00,4708.73227
2018-01-03 16:00:00,7492.03104
2018-01-03 17:00:00,7920.329749
2018-01-03 18:00:00,6495.176655
2018-01-03 19:00:00,7287.6075
2018-01-03 20:00:00,9216.8473505
2018-01-03 21:00:00,14106.47454
2018-01-03 22:00:00,13751.2171035
2018-01-03 23:00:00,14398.988885
2018-01-04 00:00:00,7266.9305
2018-01-04 01:00:00,3827.947155
2018-01-04 02:00:00,2418.565115
2018-01-04 03:00:00,495.7075
2018-01-04 04:00:00,617.975615
2018-01-04 05:00:00,0.0
2018-01-04 06:00:00,280.0825
2018-01-04 07:00:00,553.2075
2018-01-04 08:00:00,1696.825115
2018-01-04 09:00:00,3407.45
2018-01-04 10:00:00,4723.797569
2018-01-04 11:00:00,5986.795925
2018-01-04 12:00:00,5235.029885
2018-01-04 13:00:00,6115.87273
2018-01-04 14:00:00,6470.09734
2018-01-04 15:00:00,5496.482615
2018-01-04 16:00:00,5958.89727
2018-01-04 17:00:00,5683.70296
