% created with mat2arff skript 
% created on: 05-Oct-2018 22:55:22 

@RELATION a 
@ATTRIBUTE var1 NUMERIC
@ATTRIBUTE var2 NUMERIC
@ATTRIBUTE var3 NUMERIC
@ATTRIBUTE var4 NUMERIC
@ATTRIBUTE var5 NUMERIC
@ATTRIBUTE var6 NUMERIC
@ATTRIBUTE var7 NUMERIC
@ATTRIBUTE var8 NUMERIC
@ATTRIBUTE var9 NUMERIC
@ATTRIBUTE var10 NUMERIC
@ATTRIBUTE var11 NUMERIC
@ATTRIBUTE var12 NUMERIC
@ATTRIBUTE var13 NUMERIC
@ATTRIBUTE var14 NUMERIC
@ATTRIBUTE var15 NUMERIC
@ATTRIBUTE var16 NUMERIC
@ATTRIBUTE var17 NUMERIC
@ATTRIBUTE var18 NUMERIC
@ATTRIBUTE var19 NUMERIC
@ATTRIBUTE var20 NUMERIC
@ATTRIBUTE var21 NUMERIC
@ATTRIBUTE var22 NUMERIC
@ATTRIBUTE var23 NUMERIC
@ATTRIBUTE var24 NUMERIC
@ATTRIBUTE var25 NUMERIC
@ATTRIBUTE var26 NUMERIC
@ATTRIBUTE var27 NUMERIC
@ATTRIBUTE var28 NUMERIC
@ATTRIBUTE var29 NUMERIC
@ATTRIBUTE var30 NUMERIC
@ATTRIBUTE var31 NUMERIC
@ATTRIBUTE var32 NUMERIC
@ATTRIBUTE var33 NUMERIC
@ATTRIBUTE var34 NUMERIC
@ATTRIBUTE var35 NUMERIC
@ATTRIBUTE var36 NUMERIC
@ATTRIBUTE var37 NUMERIC
@ATTRIBUTE var38 NUMERIC
@ATTRIBUTE var39 NUMERIC
@ATTRIBUTE var40 NUMERIC
@ATTRIBUTE var41 NUMERIC
@ATTRIBUTE var42 NUMERIC
@ATTRIBUTE var43 NUMERIC
@ATTRIBUTE var44 NUMERIC
@ATTRIBUTE var45 NUMERIC
@ATTRIBUTE var46 NUMERIC
@ATTRIBUTE var47 NUMERIC
@ATTRIBUTE var48 NUMERIC
@ATTRIBUTE var49 NUMERIC
@ATTRIBUTE var50 NUMERIC
@ATTRIBUTE var51 NUMERIC
@ATTRIBUTE var52 NUMERIC
@ATTRIBUTE var53 NUMERIC
@ATTRIBUTE var54 NUMERIC
@ATTRIBUTE var55 NUMERIC
@ATTRIBUTE var56 NUMERIC
@ATTRIBUTE var57 NUMERIC
@ATTRIBUTE var58 NUMERIC
@ATTRIBUTE var59 NUMERIC
@ATTRIBUTE class {0,1} 
@DATA 
2.425320e-02,7.246798e-03,1.009810e-03,7.160146e-03,7.425700e-04,6.446659e-03,7.122357e-04,6.913792e-03,9.706169e-04,3.631467e-03,3.347247e-03,3.216509e-03,2.925399e-03,2.733571e-03,2.655178e-03,3.382012e-03,3.646073e-03,8.229385e-03,3.747016e-03,8.626224e-03,2.762120e-03,5.268463e-03,3.472823e-03,1.002090e-02,4.505662e-03,6.301189e-03,9.061656e-03,7.047158e-03,4.151936e-03,4.872962e-03,8.672029e-03,1.080328e-02,8.744264e-03,9.924948e-03,5.343087e-03,7.728064e-03,2.896838e-03,9.429050e-03,6.362368e-03,1.179998e-02,4.664267e-03,5.356382e-03,4.859134e-03,4.138416e-03,4.388404e-03,5.512858e-03,6.041139e-03,5.534546e-03,5.151022e-03,5.005233e-03,4.236480e-03,4.899580e-03,4.257313e-03,5.909082e-03,4.694115e-03,5.863361e-03,4.309435e-03,9.963501e-01,6.870940e-02,1
2.955441e-02,8.395141e-03,8.772612e-04,8.801740e-03,1.209568e-03,8.872902e-03,1.053760e-03,8.321390e-03,9.576427e-04,3.362371e-03,3.707324e-03,3.879023e-03,4.149797e-03,4.078506e-03,3.743682e-03,3.454910e-03,3.162773e-03,9.227624e-03,4.427248e-03,1.025934e-02,5.353105e-03,1.020594e-02,4.342755e-03,6.854769e-03,3.072555e-03,9.232387e-03,8.333022e-03,1.051401e-02,1.079446e-02,9.756556e-03,6.931313e-03,4.984055e-03,6.822327e-03,1.193420e-02,5.793312e-03,1.436196e-02,5.877926e-03,1.187177e-02,3.584421e-03,8.838347e-03,5.296818e-03,6.204006e-03,6.632040e-03,6.529733e-03,6.240654e-03,5.382495e-03,5.373545e-03,5.764361e-03,5.888509e-03,7.356547e-03,5.817962e-03,7.309715e-03,5.171084e-03,6.511388e-03,5.080022e-03,6.652921e-03,5.504742e-03,9.946014e-01,8.480803e-02,1
2.551573e-02,9.266310e-03,9.877749e-04,7.686988e-03,7.317925e-04,7.736193e-03,7.797083e-04,7.495393e-03,1.056119e-03,4.324598e-03,3.754722e-03,3.263648e-03,2.877953e-03,2.780437e-03,2.943195e-03,3.720111e-03,4.841197e-03,1.133593e-02,4.301019e-03,9.273335e-03,2.828773e-03,6.745344e-03,3.802105e-03,1.288590e-02,5.886063e-03,8.595155e-03,9.381712e-03,6.508850e-03,5.022998e-03,5.883993e-03,8.905874e-03,1.363221e-02,1.197033e-02,1.307704e-02,4.803034e-03,9.768820e-03,3.347145e-03,1.130497e-02,7.112490e-03,1.705162e-02,5.784087e-03,5.627968e-03,5.416580e-03,5.066817e-03,5.052655e-03,6.601053e-03,7.807336e-03,7.259835e-03,6.508383e-03,6.607030e-03,4.757633e-03,6.546286e-03,4.433032e-03,8.127923e-03,5.452117e-03,7.941639e-03,4.400587e-03,9.950392e-01,7.924631e-02,0
3.127694e-02,9.306450e-03,8.587513e-04,8.877893e-03,1.110553e-03,1.087351e-02,1.183387e-03,9.598812e-03,1.014580e-03,3.520794e-03,3.653154e-03,4.232642e-03,4.951796e-03,5.067118e-03,4.527738e-03,3.898318e-03,3.728190e-03,9.344215e-03,4.479069e-03,1.208475e-02,6.390883e-03,1.365764e-02,4.679788e-03,8.337741e-03,3.247078e-03,9.074346e-03,9.376772e-03,1.421626e-02,1.528501e-02,1.002211e-02,7.631073e-03,5.694210e-03,6.874273e-03,1.326985e-02,6.437604e-03,1.816320e-02,7.279443e-03,1.398281e-02,4.295103e-03,1.052753e-02,4.975678e-03,7.329170e-03,7.955186e-03,8.556012e-03,8.027739e-03,6.512020e-03,6.175678e-03,6.111921e-03,6.284721e-03,8.760044e-03,6.552000e-03,9.224599e-03,5.805752e-03,7.732077e-03,5.789721e-03,7.083136e-03,5.456393e-03,9.930696e-01,9.544624e-02,0
6.666949e-02,2.156572e-02,2.301683e-03,1.747215e-02,1.864076e-03,1.678645e-02,1.491066e-03,1.616494e-02,2.295550e-03,7.847773e-03,8.109345e-03,6.960012e-03,5.588468e-03,4.574792e-03,5.062503e-03,7.632903e-03,8.310823e-03,1.529525e-02,8.342532e-03,1.339783e-02,3.354973e-03,8.537351e-03,6.449730e-03,1.839656e-02,6.926664e-03,1.301320e-02,1.491633e-02,7.122522e-03,5.050383e-03,8.323954e-03,1.450449e-02,1.334954e-02,1.049665e-02,2.186350e-02,7.247660e-03,9.635842e-03,4.198242e-03,1.701623e-02,1.014378e-02,1.910785e-02,7.678301e-03,1.045375e-02,9.023760e-03,7.107554e-03,7.542818e-03,1.187371e-02,1.336693e-02,1.246459e-02,1.216522e-02,1.134618e-02,1.138336e-02,9.659617e-03,1.091111e-02,1.448557e-02,1.457681e-02,1.483224e-02,1.124994e-02,9.769540e-01,1.837274e-01,1
7.220275e-02,1.795076e-02,1.944544e-03,1.864440e-02,2.461415e-03,2.302842e-02,2.540582e-03,1.816117e-02,1.656762e-03,5.965039e-03,7.030125e-03,8.179430e-03,8.488998e-03,9.142258e-03,8.549084e-03,5.730010e-03,4.915582e-03,1.383010e-02,7.527146e-03,1.627093e-02,7.887123e-03,1.978802e-02,6.510840e-03,9.053570e-03,3.724151e-03,1.391867e-02,1.198390e-02,1.320312e-02,1.503463e-02,1.483718e-02,8.366263e-03,5.495348e-03,7.967469e-03,1.952802e-02,8.695017e-03,2.142911e-02,1.093733e-02,1.743866e-02,4.749684e-03,1.081935e-02,7.729379e-03,1.251430e-02,1.302013e-02,1.480008e-02,1.341421e-02,8.507505e-03,8.076052e-03,9.816174e-03,1.115096e-02,1.592597e-02,1.520608e-02,1.568598e-02,1.223957e-02,1.034890e-02,1.214714e-02,1.194666e-02,1.253381e-02,9.733248e-01,1.978758e-01,0
3.243214e-02,1.106209e-02,1.458822e-03,8.740432e-03,1.022002e-03,8.685065e-03,9.704103e-04,8.511731e-03,1.415751e-03,5.337611e-03,5.081187e-03,4.562131e-03,3.965591e-03,3.322677e-03,3.756080e-03,5.308256e-03,5.941982e-03,1.128686e-02,6.632744e-03,1.210312e-02,3.627045e-03,6.390934e-03,5.496289e-03,1.694140e-02,6.292943e-03,1.097105e-02,1.466653e-02,9.051522e-03,4.801011e-03,7.127331e-03,1.448747e-02,1.602117e-02,1.017320e-02,1.667019e-02,7.294321e-03,9.825651e-03,3.494650e-03,1.428947e-02,1.067299e-02,1.676335e-02,6.295781e-03,7.088271e-03,6.360504e-03,4.963648e-03,5.364443e-03,8.632731e-03,9.496514e-03,8.405305e-03,7.822288e-03,6.232244e-03,5.750795e-03,5.834546e-03,5.811719e-03,8.457304e-03,7.425653e-03,8.059592e-03,5.796317e-03,9.931961e-01,9.112228e-02,0
4.691559e-02,1.262589e-02,1.567835e-03,1.239866e-02,2.099480e-03,1.601344e-02,1.974606e-03,1.203828e-02,1.535842e-03,5.526822e-03,6.265455e-03,6.802321e-03,7.179409e-03,7.863259e-03,7.407030e-03,5.058999e-03,4.732931e-03,1.624994e-02,8.281403e-03,1.334270e-02,7.862341e-03,2.199122e-02,7.322203e-03,8.307011e-03,4.614031e-03,2.020193e-02,1.240817e-02,1.127982e-02,2.012917e-02,2.026949e-02,8.483847e-03,5.977619e-03,1.169665e-02,2.025634e-02,7.619543e-03,2.001306e-02,1.428657e-02,1.721305e-02,4.704176e-03,1.182864e-02,1.039998e-02,1.004396e-02,1.057971e-02,1.249977e-02,1.191614e-02,7.238298e-03,6.986152e-03,8.705167e-03,9.867418e-03,1.106135e-02,1.072982e-02,1.123332e-02,8.330014e-03,7.613039e-03,8.425894e-03,8.618281e-03,8.404308e-03,9.869013e-01,1.291638e-01,0
3.658538e-02,1.272484e-02,1.527284e-03,9.710922e-03,9.997651e-04,9.168477e-03,9.022850e-04,9.261496e-03,1.507822e-03,5.851993e-03,5.315525e-03,3.840251e-03,2.998766e-03,2.688063e-03,3.365538e-03,5.263918e-03,5.678787e-03,1.228379e-02,5.350398e-03,7.478884e-03,1.957403e-03,5.552104e-03,4.719903e-03,1.327183e-02,5.838989e-03,8.969445e-03,9.826340e-03,4.106147e-03,3.269057e-03,6.397278e-03,1.094976e-02,1.069624e-02,1.142646e-02,1.362908e-02,4.354466e-03,5.961902e-03,3.037813e-03,1.216641e-02,7.560232e-03,1.617347e-02,6.747812e-03,5.791795e-03,4.929102e-03,4.428711e-03,5.136798e-03,8.270952e-03,9.126100e-03,9.223361e-03,8.298471e-03,5.891484e-03,6.062080e-03,5.729064e-03,6.166883e-03,9.574399e-03,8.435267e-03,9.831605e-03,6.452149e-03,9.924702e-01,1.016830e-01,0
2.947666e-02,7.124752e-03,8.140113e-04,8.555135e-03,1.326432e-03,9.589969e-03,1.256510e-03,8.090455e-03,8.499658e-04,2.865999e-03,3.679439e-03,4.595520e-03,4.711181e-03,4.782654e-03,4.496302e-03,2.951473e-03,2.525102e-03,8.637495e-03,4.655826e-03,9.925025e-03,5.204407e-03,1.196374e-02,3.881054e-03,4.767577e-03,2.280767e-03,9.761488e-03,8.225956e-03,9.414515e-03,1.106911e-02,9.619033e-03,5.300548e-03,3.485834e-03,5.623321e-03,1.187137e-02,6.019112e-03,1.341350e-02,7.605223e-03,9.927234e-03,2.706852e-03,6.317789e-03,5.247844e-03,6.853354e-03,7.134526e-03,7.698965e-03,7.284835e-03,4.485269e-03,3.948303e-03,4.745563e-03,5.732297e-03,7.360452e-03,6.371378e-03,7.008744e-03,5.485625e-03,4.781634e-03,4.842467e-03,5.124487e-03,5.676757e-03,9.949658e-01,8.154751e-02,1
